Season,ETD Week,ETA Week,ETA,Transport,Specie,Variety,Importer,Exporter,Arrival port,Vessel,Boxes
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Owen T,Regatta Tropicals Ltd.,Greenvic,Los Angeles,Star Trust,480
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Yummy Giant,Sierra Produce,C Y D S.a.,Los Angeles,Star Trust,808
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Black Ambar,Sierra Produce,Exp.santa Marta,Los Angeles,Star Trust,1752
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Black Ambar,Sierra Produce,La Higuera S.a.,Los Angeles,Star Trust,544
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Lemon,Sierra Produce,La Higuera S.a.,Los Angeles,Star Trust,2040
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Ebony,Sierra Produce,Verfrut Spa,Los Angeles,Star Trust,2584
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Black Ambar,Valhalla Sales Marketing,La Higuera S.a.,Los Angeles,Star Trust,616
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Lemon,Valhalla Sales Marketing,La Higuera S.a.,Los Angeles,Star Trust,680
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Candy Stripe,Walmart Stores Inc.,Prize S.a.,Los Angeles,Star Trust,1812
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Black Splendor,David Oppenheimer Inc.,Agric.montolin,Gloucester,Ice Glacier,120
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Black Ambar,David Oppenheimer Inc.,Fru.del Huerto,Gloucester,Ice Glacier,6098
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Owen T,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Sonche Trader,1224
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Owen T,David Oppenheimer Inc.,Geofrut Ltda.,Gloucester,Ice Glacier,1815
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Sapphire,David Oppenheimer Inc.,Geofrut Ltda.,Gloucester,Ice Glacier,289
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Black Splendor,David Oppenheimer Inc.,Lq Fruit Ltda.,Gloucester,Ice Glacier,7433
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Sapphire,David Oppenheimer Inc.,Monte Alto,Gloucester,Ice Glacier,2240
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Black Splendor,Forever Fresh Llc,La Higuera S.a.,Gloucester,Ice Glacier,176
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Lemon,Forever Fresh Llc,La Higuera S.a.,Gloucester,Ice Glacier,1088
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Owen T,Grapeman Farms Lp.,Geofrut Ltda.,Gloucester,Ice Glacier,360
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Owen T,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Sonche Trader,816
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Owen T,Jac Vandenberg Inc.,Geofrut Ltda.,Gloucester,Ice Glacier,774
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Sapphire,Jac Vandenberg Inc.,Geofrut Ltda.,Gloucester,Ice Glacier,16
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Ebony Sweet,Kingsburg Orchards,C Y D S.a.,Gloucester,Ice Glacier,456
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Blue Giant,Kopke Jr.inc. William H.,Greenvic,Gloucester,Ice Glacier,104
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Sapphire,Kopke Jr.inc. William H.,Greenvic,Gloucester,Ice Glacier,3593
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Yummy Giant,Kopke Jr.inc. William H.,Greenvic,Gloucester,Ice Glacier,783
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Black Ambar,Pacific Trellis Fruit,Fru.del Huerto,Gloucester,Ice Glacier,3440
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Black Splendor,Pacific Trellis Fruit,La Higuera S.a.,Gloucester,Ice Glacier,352
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Lemon,Pacific Trellis Fruit,La Higuera S.a.,Gloucester,Ice Glacier,920
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Black Ambar,Pacific Trellis Fruit,Monte Alto,Gloucester,Ice Glacier,4280
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Sapphire,Pacific Trellis Fruit,Monte Alto,Gloucester,Ice Glacier,4696
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Sapphire,Regatta Tropicals Ltd.,Greenvic,Gloucester,Ice Glacier,424
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Yummy Giant,Regatta Tropicals Ltd.,Greenvic,Gloucester,Ice Glacier,401
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Owen T,Sbrocco International Inc.,Atlas Fresh Spa,Gloucester,Ice Glacier,750
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Yummy Giant,Sierra Produce,C Y D S.a.,Gloucester,Ice Glacier,480
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Owen T,Sierra Produce,Exp.agua Santa,Gloucester,Ice Glacier,1192
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Sapphire,Summit Produce Inc,Soc.c & L Frut,Gloucester,Ice Glacier,1769
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Ebony,Walmart Stores Inc.,Verfrut Spa,Savannah,Sonche Trader,1408
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Fortune,Walmart Stores Inc.,Verfrut Spa,Savannah,Sonche Trader,765
2023-2024,3-2024,5-2024,30-01-2024,LINER,Plum,Honey Punch,Walmart Stores Inc.,Verfrut Spa,Savannah,Sonche Trader,387
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Fortune,A La Orden,Copefrut S.a.,Los Angeles,Msc Rayshmi,4920
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Blue Giant,A La Orden,Gesex S.a.,Los Angeles,Msc Rayshmi,2029
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Fortuna,A La Orden,Lo Garces Spa,Filadelfia,Msc Rayshmi,1616
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Fortune,A La Orden,Lo Garces Spa,Filadelfia,Msc Rayshmi,1280
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Fortune,A La Orden,Lo Garces Spa,Los Angeles,Msc Rayshmi,3960
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Fortune,Bengard Marketing,David Del Curto,Los Angeles,Msc Rayshmi,2400
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Lemon,Bengard Marketing,David Del Curto,Los Angeles,Msc Rayshmi,2400
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Blue Giant,Bengard Marketing,Greenvic,Los Angeles,Msc Rayshmi,110
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Fortune,Bengard Marketing,Greenvic,Los Angeles,Msc Rayshmi,448
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Owen T,Bengard Marketing,Greenvic,Los Angeles,Msc Rayshmi,514
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Owen T,Capespan North America Inc.,Verfrut Spa,Filadelfia,Msc Rayshmi,1105
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Crimson Dawn,Colima Walmart,Soc.c & L Frut,Los Angeles,Msc Rayshmi,2560
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Ebony,David Oppenheimer Inc.,Verfrut Spa,Filadelfia,Msc Rayshmi,106
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Fortune,David Oppenheimer Inc.,Verfrut Spa,Filadelfia,Msc Rayshmi,360
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Owen T,David Oppenheimer Inc.,Verfrut Spa,Filadelfia,Msc Rayshmi,3126
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Fortune,Dayka Hackett Llc,Verfrut Spa,Los Angeles,Msc Rayshmi,410
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Owen T,Dayka Hackett Llc,Verfrut Spa,Los Angeles,Msc Rayshmi,425
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Honey Punch,Dayka Hackett Llc,Verfrut Spa,Los Angeles,Msc Rayshmi,440
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Ebony,Forever Fresh Llc,Verfrut Spa,Filadelfia,Msc Rayshmi,43
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Fortune,Forever Fresh Llc,Verfrut Spa,Filadelfia,Msc Rayshmi,170
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Owen T,Forever Fresh Llc,Verfrut Spa,Filadelfia,Msc Rayshmi,4747
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Owen T,Forever Fresh Llc,Verfrut Spa,Los Angeles,Msc Rayshmi,1200
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Owen T,Grapeman Farms Lp.,Verfrut Spa,Filadelfia,Msc Rayshmi,1360
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Black Diamond,International Fruit Company In,Monte Alto,Filadelfia,Msc Rayshmi,1800
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Blue Giant,Kopke Jr.inc. William H.,Greenvic,Los Angeles,Msc Rayshmi,1486
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Fortune,Kopke Jr.inc. William H.,Greenvic,Los Angeles,Msc Rayshmi,688
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Owen T,Kopke Jr.inc. William H.,Greenvic,Los Angeles,Msc Rayshmi,514
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Fortune,Pacific Trellis Fruit,David Del Curto,Filadelfia,Msc Rayshmi,1639
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Lemon,Pacific Trellis Fruit,David Del Curto,Filadelfia,Msc Rayshmi,3825
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Black Ambar,Pacific Trellis Fruit,Monte Alto,Filadelfia,Msc Rayshmi,1368
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Black Diamond,Pacific Trellis Fruit,Monte Alto,Filadelfia,Msc Rayshmi,2128
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Fortune,Pacific Trellis Fruit,Monte Alto,Filadelfia,Msc Rayshmi,408
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Sweet Diamond,Pacific Trellis Fruit,Monte Alto,Filadelfia,Msc Rayshmi,850
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Lemon,Pacific Trellis Fruit,Prize S.a.,Filadelfia,Msc Rayshmi,1600
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Owen T,Pacific Trellis Fruit,Verfrut Spa,Filadelfia,Msc Rayshmi,2264
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Owen T,Sierra Produce,Verfrut Spa,Filadelfia,Msc Rayshmi,6992
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Crimson Dawn,Walmart Stores Inc.,C Y D S.a.,Los Angeles,Msc Rayshmi,1280
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Fortune,Walmart Stores Inc.,C Y D S.a.,Los Angeles,Msc Rayshmi,3840
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Candy Stripe,Walmart Stores Inc.,Prize S.a.,Los Angeles,Msc Rayshmi,2447
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Ebony,Walmart Stores Inc.,Verfrut Spa,Los Angeles,Msc Rayshmi,132
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Fortune,Walmart Stores Inc.,Verfrut Spa,Los Angeles,Msc Rayshmi,1651
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Honey Punch,Walmart Stores Inc.,Verfrut Spa,Los Angeles,Msc Rayshmi,3337
2023-2024,3-2024,5-2024,02-02-2024,LINER,Plum,Black Diamond,World Fresh Produce Inc.,Monte Alto,Filadelfia,Msc Rayshmi,2560
2023-2024,4-2024,4-2024,23-01-2024,AIR,Plum,Black Royal,Dayka Hackett Llc,Tuniche Fruits,Miami,AIR,240
2023-2024,4-2024,4-2024,23-01-2024,AIR,Plum,Fortune,Direct Source Marketing Inc,Verfrut Spa,Miami,AIR,3200
2023-2024,4-2024,4-2024,23-01-2024,AIR,Plum,Fortune,Direct Sourcing Logistics In,Greenvic,Miami,AIR,229
2023-2024,4-2024,4-2024,23-01-2024,AIR,Plum,Lemon,Rio Vista Ventures Llc,Exportafresh Sp,Atlanta,AIR,360
2023-2024,4-2024,4-2024,23-01-2024,AIR,Plum,Lemon,Rio Vista Ventures Llc,Exportafresh Sp,Miami,AIR,792
2023-2024,4-2024,4-2024,25-01-2024,AIR,Plum,Fortune,Contel Fresh Inc.,Soc.c & L Frut,Orlando,AIR,704
2023-2024,4-2024,4-2024,25-01-2024,AIR,Plum,Fortune,Direct Source Marketing Inc,Verfrut Spa,Miami,AIR,1040
2023-2024,4-2024,4-2024,26-01-2024,AIR,Plum,Grand Rosa,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,1942
2023-2024,4-2024,4-2024,27-01-2024,AIR,Plum,Owen T,Contel Fresh Inc.,Verfrut Spa,Orlando,AIR,1760
2023-2024,4-2024,4-2024,27-01-2024,AIR,Plum,Lemon,David Oppenheimer Inc.,Gedesa Exp.s.a.,Miami,AIR,880
2023-2024,4-2024,4-2024,28-01-2024,AIR,Plum,Fortune,Contel Fresh Inc.,Soc.c & L Frut,Miami,AIR,404
2023-2024,4-2024,4-2024,28-01-2024,AIR,Plum,Owen T,Contel Fresh Inc.,Soc.c & L Frut,Miami,AIR,7
2023-2024,4-2024,4-2024,28-01-2024,AIR,Plum,Owen T,Pacific Trellis Fruit,Verfrut Spa,Miami,AIR,880
2023-2024,4-2024,5-2024,29-01-2024,AIR,Plum,Owen T,David Oppenheimer Inc.,Verfrut Spa,Miami,AIR,2288
2023-2024,4-2024,5-2024,29-01-2024,AIR,Plum,Ci 535,Pacific Trellis Fruit,Olivar Export S,Miami,AIR,560
2023-2024,4-2024,5-2024,29-01-2024,AIR,Plum,Owen T,Pacific Trellis Fruit,Verfrut Spa,Miami,AIR,880
2023-2024,4-2024,5-2024,29-01-2024,TRUCK,Plum,Owen T,Contel Fresh Inc.,Verfrut Spa,Miami,TRUCK,2112
2023-2024,4-2024,5-2024,29-01-2024,TRUCK,Plum,Owen T,Direct Sourcing Logistics In,Greenvic,Miami,TRUCK,1040
2023-2024,4-2024,5-2024,30-01-2024,TRUCK,Plum,Owen T,Direct Source Marketing Inc,Verfrut Spa,Miami,TRUCK,1184
2023-2024,4-2024,5-2024,02-02-2024,TRUCK,Plum,Owen T,Direct Source Marketing Inc,Verfrut Spa,Miami,TRUCK,1040
2023-2024,4-2024,5-2024,03-02-2024,CHARTER,Plum,Blue Giant,A La Orden,Gesex S.a.,Gloucester,Knud Reefer,1440
2023-2024,4-2024,5-2024,03-02-2024,CHARTER,Plum,Black Ambar,Capespan North America Llc,La Higuera S.a.,Gloucester,Knud Reefer,576
2023-2024,4-2024,5-2024,03-02-2024,CHARTER,Plum,Black Ambar,David Oppenheimer Inc.,Fru.del Huerto,Gloucester,Knud Reefer,566
2023-2024,4-2024,5-2024,03-02-2024,CHARTER,Plum,Fortune,David Oppenheimer Inc.,Fru.del Huerto,Gloucester,Knud Reefer,3127
2023-2024,4-2024,5-2024,03-02-2024,CHARTER,Plum,Blue Giant,Kopke Jr.inc. William H.,Greenvic,Gloucester,Knud Reefer,99
2023-2024,4-2024,5-2024,03-02-2024,CHARTER,Plum,Owen T,Kopke Jr.inc. William H.,Greenvic,Gloucester,Knud Reefer,525
2023-2024,4-2024,5-2024,03-02-2024,CHARTER,Plum,Sapphire,Kopke Jr.inc. William H.,Greenvic,Gloucester,Knud Reefer,848
2023-2024,4-2024,5-2024,03-02-2024,CHARTER,Plum,Owen T,Sierra Produce,Exp.agua Santa,Gloucester,Knud Reefer,1176
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Black Glory,A La Orden,Agricom Ltda.,Filadelfia,Cape Quest,1872
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Yummy Giant,A La Orden,Agricom Ltda.,Filadelfia,Cape Quest,795
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Zafiro,A La Orden,Agricom Ltda.,Filadelfia,Cape Quest,5
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Owen T,Contel Fresh Inc.,Verfrut Spa,Everglades,Cape Quest,816
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Black Ambar,David Oppenheimer Inc.,Monte Alto,Filadelfia,Cape Quest,256
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Black Diamond,David Oppenheimer Inc.,Monte Alto,Filadelfia,Cape Quest,1264
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Fortune,David Oppenheimer Inc.,Monte Alto,Filadelfia,Cape Quest,1040
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Owen T,David Oppenheimer Inc.,Verfrut Spa,Filadelfia,Cape Quest,5280
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Owen T,Forever Fresh Llc,Verfrut Spa,Filadelfia,Cape Quest,5185
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Fortune,Fru-veg Marketing Inc.,Triofrut Ltda.,Filadelfia,Cape Quest,728
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Black Ambar,Kopke Jr.inc. William H.,Greenvic,Filadelfia,Cape Quest,120
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Blue Giant,Kopke Jr.inc. William H.,Greenvic,Filadelfia,Cape Quest,833
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Owen T,Kopke Jr.inc. William H.,Greenvic,Filadelfia,Cape Quest,1039
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Sapphire,Kopke Jr.inc. William H.,Greenvic,Filadelfia,Cape Quest,104
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Black Ambar,Pacific Trellis Fruit,Monte Alto,Filadelfia,Cape Quest,256
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Black Diamond,Pacific Trellis Fruit,Monte Alto,Filadelfia,Cape Quest,1112
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Fortune,Pacific Trellis Fruit,Monte Alto,Filadelfia,Cape Quest,784
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Sweet Lady,Pacific Trellis Fruit,Monte Alto,Filadelfia,Cape Quest,85
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Sweet Diamond,Pacific Trellis Fruit,Monte Alto,Filadelfia,Cape Quest,170
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Fortune,Pacific Trellis Fruit,Triofrut Ltda.,Filadelfia,Cape Quest,1040
2023-2024,4-2024,5-2024,03-02-2024,LINER,Plum,Sapphire,Sierra Produce,Exp.agua Santa,Filadelfia,Cape Quest,120
2023-2024,4-2024,5-2024,03-02-2024,TRUCK,Plum,Owen T,Direct Source Marketing Inc,Verfrut Spa,Miami,TRUCK,240
2023-2024,4-2024,6-2024,05-02-2024,LINER,Plum,Crimson Dawn,A La Orden,Lo Garces Spa,Port Hueneme,Jpo Pisces,209
2023-2024,4-2024,6-2024,05-02-2024,LINER,Plum,Fortune,A La Orden,Lo Garces Spa,Filadelfia,Jpo Pisces,768
2023-2024,4-2024,6-2024,05-02-2024,LINER,Plum,Fortune,A La Orden,Lo Garces Spa,Port Hueneme,Jpo Pisces,1189
2023-2024,4-2024,6-2024,05-02-2024,LINER,Plum,Owen T,Dayka Hackett Llc,Geofrut Ltda.,Filadelfia,Jpo Pisces,256
2023-2024,4-2024,6-2024,05-02-2024,LINER,Plum,Fortune,Walmart Stores Inc.,Verfrut Spa,Savannah,Jpo Pisces,2560
2023-2024,4-2024,6-2024,07-02-2024,LINER,Plum,Black Glory,A La Orden,Agricom Ltda.,Filadelfia,Cma Cgm Pregolia,2736
2023-2024,4-2024,6-2024,07-02-2024,LINER,Plum,Yummy Giant,A La Orden,Agricom Ltda.,Filadelfia,Cma Cgm Pregolia,2488
2023-2024,4-2024,6-2024,07-02-2024,LINER,Plum,Ebony,Capespan North America Inc.,Verfrut Spa,Filadelfia,Cma Cgm Pregolia,90
2023-2024,4-2024,6-2024,07-02-2024,LINER,Plum,Owen T,Capespan North America Inc.,Verfrut Spa,Filadelfia,Cma Cgm Pregolia,992
2023-2024,4-2024,6-2024,07-02-2024,LINER,Plum,Honey Punch,Capespan North America Inc.,Verfrut Spa,Filadelfia,Cma Cgm Pregolia,24
2023-2024,4-2024,6-2024,07-02-2024,LINER,Plum,Honey Punch,Pacific Trellis Fruit,Verfrut Spa,Filadelfia,Cma Cgm Pregolia,850
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Crimson Dawn,Capespan North America Llc,C Y D S.a.,Gloucester,Baltic Summer,150
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Ebony Sweet,Capespan North America Llc,C Y D S.a.,Gloucester,Baltic Summer,600
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Lemon,David Oppenheimer Inc.,Gedesa Exp.s.a.,Gloucester,Baltic Summer,4499
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Owen T,David Oppenheimer Inc.,Geofrut Ltda.,Gloucester,Baltic Summer,224
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Black Ambar,David Oppenheimer Inc.,Monte Alto,Gloucester,Baltic Summer,118
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Black Diamond,David Oppenheimer Inc.,Monte Alto,Gloucester,Baltic Summer,1200
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Owen T,David Oppenheimer Inc.,Monte Alto,Gloucester,Baltic Summer,1080
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Owen T,Dayka Hackett Llc,Geofrut Ltda.,Gloucester,Baltic Summer,240
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Fortune,Fru-veg Marketing Inc.,Triofrut Ltda.,Gloucester,Baltic Summer,312
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Owen T,Jac Vandenberg Inc.,Geofrut Ltda.,Gloucester,Baltic Summer,224
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Crimson Dawn,Kingsburg Orchards,C Y D S.a.,Gloucester,Baltic Summer,1456
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Ebony Sweet,Kingsburg Orchards,C Y D S.a.,Gloucester,Baltic Summer,568
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Fortune,Kopke Jr.inc. William H.,Fru.del Huerto,Gloucester,Baltic Summer,1040
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Fortune,Kopke Jr.inc. William H.,Greenvic,Gloucester,Baltic Summer,2309
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Owen T,Kopke Jr.inc. William H.,Greenvic,Gloucester,Baltic Summer,672
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Sapphire,Kopke Jr.inc. William H.,Greenvic,Gloucester,Baltic Summer,339
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Laroda,Pacific Trellis Fruit,Exp.fms Spa,Gloucester,Baltic Summer,5869
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Black Ambar,Pacific Trellis Fruit,Monte Alto,Gloucester,Baltic Summer,4512
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Fortune,Pacific Trellis Fruit,Monte Alto,Gloucester,Baltic Summer,464
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Owen T,Pacific Trellis Fruit,Monte Alto,Gloucester,Baltic Summer,4128
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Crimson Dawn,Sierra Produce,C Y D S.a.,Gloucester,Baltic Summer,1464
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Ebony Sweet,Sierra Produce,C Y D S.a.,Gloucester,Baltic Summer,448
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Fortune,Sierra Produce,C Y D S.a.,Gloucester,Baltic Summer,104
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Black Ambar,Sierra Produce,Exp.santa Marta,Gloucester,Baltic Summer,88
2023-2024,4-2024,6-2024,08-02-2024,CHARTER,Plum,Fortune,Sierra Produce,Exp.santa Marta,Gloucester,Baltic Summer,1080
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Black Glory,A La Orden,Agricom Ltda.,Los Angeles,Comoros Stream,2832
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Blue Giant,A La Orden,Gesex S.a.,Los Angeles,Comoros Stream,840
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Flavor Rich,A La Orden,Gesex S.a.,Los Angeles,Comoros Stream,240
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Purple Heart,A La Orden,Gesex S.a.,Los Angeles,Comoros Stream,1740
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Dapple Delight,A La Orden,Lo Garces Spa,Los Angeles,Comoros Stream,280
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Fortune,A La Orden,Lo Garces Spa,Los Angeles,Comoros Stream,1120
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Fortune,Bengard Marketing,David Del Curto,Los Angeles,Comoros Stream,65
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Lemon,Bengard Marketing,David Del Curto,Los Angeles,Comoros Stream,1577
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Black Ambar,Bengard Marketing,Exp.santa Marta,Los Angeles,Comoros Stream,794
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Fortune,Bengard Marketing,Exp.santa Marta,Los Angeles,Comoros Stream,480
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Blue Giant,Bengard Marketing,Greenvic,Los Angeles,Comoros Stream,619
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Crimson Dawn,Bengard Marketing,Greenvic,Los Angeles,Comoros Stream,1188
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Fortune,Bengard Marketing,Greenvic,Los Angeles,Comoros Stream,199
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Happy Giant,Bengard Marketing,Greenvic,Los Angeles,Comoros Stream,413
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Owen T,Bengard Marketing,Greenvic,Los Angeles,Comoros Stream,213
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Black Diamond,Bengard Marketing,Monte Alto,Los Angeles,Comoros Stream,2149
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Fortune,Bengard Marketing,Monte Alto,Los Angeles,Comoros Stream,2266
